path,folder_path,size_gb,parsed_title,parsed_year,imdb_id,title,year,imdb_rating,imdb_votes,genre,runtime,verdict,reason
\\TOWER\rootshare\Movies\The Man from Earth (2007)\The Man from Earth (2007) Bluray-720p.mkv,\\TOWER\rootshare\Movies\The Man from Earth (2007),3.0,The Man from Earth,2007,tt0756683,The Man from Earth,2007,7.8,214697,"Drama, Fantasy, Mystery",87,KEEP,ok
\\TOWER\rootshare\Movies\The Martian (2015)\The Martian (2015) Bluray-720p Proper.mkv,\\TOWER\rootshare\Movies\The Martian (2015),5.62,The Martian,2015,tt3659388,The Martian,2015,8.0,991502,"Adventure, Drama, Sci-Fi",144,KEEP,ok
\\TOWER\rootshare\Movies\The Matrix (1999)\The Matrix (1999) Bluray-720p.mkv,\\TOWER\rootshare\Movies\The Matrix (1999),3.04,The Matrix,1999,tt0133093,The Matrix,1999,8.7,2217731,"Action, Sci-Fi",136,KEEP,ok
\\TOWER\rootshare\Movies\The Matrix Reloaded (2003)\The Matrix Reloaded (2003) Bluray-1080p.mkv,\\TOWER\rootshare\Movies\The Matrix Reloaded (2003),3.99,The Matrix Reloaded,2003,tt0234215,The Matrix Reloaded,2003,7.2,666077,"Action, Sci-Fi",138,KEEP,ok
\\TOWER\rootshare\Movies\The Naked Gun From the Files of Police Squad! (1988)\The Naked Gun From the Files of Police Squad! (1988) Bluray-720p.mkv,\\TOWER\rootshare\Movies\The Naked Gun From the Files of Police Squad! (1988),0.41,The Naked Gun From the Files of Police Squad!,1988,tt0095705,The Naked Gun: From the Files of Police Squad!,1988,7.6,219235,"Comedy, Crime",85,KEEP,ok
\\TOWER\rootshare\Movies\The Nightmare Before Christmas (1993)\The Nightmare Before Christmas (1993) Bluray-720p Proper.mkv,\\TOWER\rootshare\Movies\The Nightmare Before Christmas (1993),1.68,The Nightmare Before Christmas,1993,tt0107688,The Nightmare Before Christmas,1993,7.9,407299,"Animation, Adventure, Family",76,KEEP,ok
\\TOWER\rootshare\Movies\The Others (2001)\The Others (2001) Bluray-1080p.mkv,\\TOWER\rootshare\Movies\The Others (2001),5.96,The Others,2001,tt0230600,The Others,2001,7.6,421571,"Horror, Mystery, Thriller",104,KEEP,ok
\\TOWER\rootshare\Movies\The Prestige (2006)\The Prestige (2006) Bluray-720p.mkv,\\TOWER\rootshare\Movies\The Prestige (2006),7.88,The Prestige,2006,tt0482571,The Prestige,2006,8.5,1560211,"Drama, Mystery, Sci-Fi",130,KEEP,ok
\\TOWER\rootshare\Movies\The Princess Bride (1987)\The Princess Bride (1987) Bluray-1080p.mkv,\\TOWER\rootshare\Movies\The Princess Bride (1987),7.07,The Princess Bride,1987,tt0093779,The Princess Bride,1987,8.0,481984,"Adventure, Comedy, Family",98,KEEP,ok
\\TOWER\rootshare\Movies\The Queen (2006)\The Queen (2006) Bluray-720p.mkv,\\TOWER\rootshare\Movies\The Queen (2006),2.1,The Queen,2006,tt0436697,The Queen,2006,7.3,118673,"Biography, Drama",103,KEEP,ok
\\TOWER\rootshare\Movies\The Running Man (2025)\The Running Man (2025) WEBDL-720p Proper.mkv,\\TOWER\rootshare\Movies\The Running Man (2025),3.39,The Running Man,2025,tt14107334,The Running Man,2025,6.4,73266,"Action, Adventure, Sci-Fi",133,REMOVE,rating 6.4 < 7.0
\\TOWER\rootshare\Movies\The Shawshank Redemption (1994)\The Shawshank Redemption (1994) Bluray-720p.mkv,\\TOWER\rootshare\Movies\The Shawshank Redemption (1994),4.64,The Shawshank Redemption,1994,tt0111161,The Shawshank Redemption,1994,9.3,3152337,Drama,142,KEEP,ok
\\TOWER\rootshare\Movies\The Shining (1980)\The Shining (1980) Bluray-720p.mkv,\\TOWER\rootshare\Movies\The Shining (1980),6.93,The Shining,1980,tt0081505,The Shining,1980,8.4,1209484,"Drama, Horror",146,KEEP,ok
\\TOWER\rootshare\Movies\The Social Dilemma (2020)\The Social Dilemma (2020) WEBDL-720p.mkv,\\TOWER\rootshare\Movies\The Social Dilemma (2020),0.41,The Social Dilemma,2020,tt11464826,The Social Dilemma,2020,7.6,93757,"Documentary, Drama",94,KEEP,ok
\\TOWER\rootshare\Movies\The Spy Who Loved Me (1977)\The Spy Who Loved Me (1977) Bluray-720p.mkv,\\TOWER\rootshare\Movies\The Spy Who Loved Me (1977),5.39,The Spy Who Loved Me,1977,tt0076752,The Spy Who Loved Me,1977,7.0,123115,"Action, Adventure, Thriller",125,KEEP,ok
